chartName,category,img,link,description
Tortendiagramm,Teil des Ganzen,tortendiagramm.svg,https://dwbrand.frontify.com/document/22#/kreisdiagramm,A common way of showing part-to-whole data - but be aware that it's difficult to accurately compare the size of the segments
Donutdiagramm,Teil des Ganzen,donutdiagramm.svg,TRUE,Similar to a pie chart - but the centre can be a good way of making space to include more information about the data (eg. total)
Kacheldiagramm,Teil des Ganzen,kacheldiagramm.svg,TRUE,Use for hierarchical part-to-whole relationships
Bogendiagramm,Teil des Ganzen,bogendiagramm.svg,TRUE,A good way of showing the size and proportion of data at the same time as long as the data are not too complicated
Gitterdiagramm,Teil des Ganzen,gitterdiagramm.svg,TRUE,A common way of showing part-to-whole data - but be aware that it's difficult to aSäccurately compare the size of the segments
Venn-Diagramm,Teil des Ganzen,venn.svg,TRUE,Similar to a pie chart - but the centre can be a good way of making space to include more information about the data (eg. total)
Säulendiagramm,Größen- ordnung,saeulen-diagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,The standard way to compare the size of things. Must always start at 0 on the axis,
Balkendiagramm,Größen- ordnung,balkendiagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,The standard way to compare the size of things. Must always start at 0 on the axis. Good when the data are not time series and labels have long category names
Gruppiertes Säulendiagramm,Größen- ordnung,gruppiertes-saeulendiagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,As per standard column but allows for multiple series. Can become tricky to read with more than 2 series
Gruppiertes Balkendiagramm,Größen- ordnung,gruppiertes-balkendiagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,As per standard bar but allows for multiple series. Can become tricky to read with more than 2 series
Marimekko,Größen- ordnung,marimekko.svg,TRUE,A good way of showing the size and proportion of data at the same time - as long as the data are not too complicated
Proportionale Symbole Karte,Größen- ordnung,proportionale-symbole-karte.svg,TRUE,Use when there are big variations between values and/or seeing fne differences between data is not so important
Isotype,Größen- ordnung,isotype.svg,https://dwbrand.frontify.com/document/22#/isotype-piktogramm,Excellent solution in some instances - use only with whole numbers (do not slice off an arm to represent a decimal)
Lollipop,Größen- ordnung,lollipop-diagramm.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Radar,Größen- ordnung,radar.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Parallele Koordinaten,Größen- ordnung,parallele-koordinaten.svg,TRUE,A space-efficient way of showing value pf multiple variables -  but make sure they are organised in a way that makes sense to reader
Gruppierte Symbole,Größen- ordnung,gruppierte-symbole.svg,TRUE,An alternative to radar charts - again the arrngement of the variables is important. Usually benefits from highlighting values
Wasserfall-Diagramm,Teil des Ganzen,wasserfall-diagramm.svg,TRUE,Use for hierarchical part-to-whole relationships
Flächenkartogramm (Choropletenkarte),Räumlich,flaechenkartogramm.svg,TRUE,The standard approach for putting data on a map - should always be rates rather than totals and use a sensible base geography
Proportionale Symbole (Anzahl/Höhe),Räumlich,proportionale-symbole-karte.svg,TRUE,Use for totals rather than rates  - be wary that small differences in data will be hard to see
Flusskarten,Räumlich,flusskarten.svg,TRUE,For showing unambiguous movement across a map
Höhenlinienkarte,Räumlich,hoehenlinienkarte.svg,TRUE,For showing areas of equal value on a map. Can use Abweichung colour schemes for showing +/- values
Punkte-Dichte Karte,Räumlich,punkte-dichte-karte.svg,TRUE,Converting each unit on a map to a regular and equally-sized shape - good for representing voting regions with equal share
Heatmap,Räumlich,heatmap.svg,https://dwbrand.frontify.com/document/22#/heatmap,Stretching and shrinking a map so that each area is sized according to a particular value
Sankey,Fluss,sankey.svg,TRUE,Shows changes in flows from one condition to at least one other
Wasserfall-Diagramm,Fluss,wasserfall-diagramm.svg,TRUE,Designed to show the sequencing of data through a flow process typically budgets. Can include +/- components
Akkord-Diagramm,Fluss,akkord-diagramm.svg,TRUE,A complex but powerful diagram which can illustrate 2-way flows (and net winner) in a matrix
Netzwerk-Diagramm,Fluss,netzwerk-diagramm.svg,TRUE,Used for showing the complexity and inter-connectdness of relationships of varying types
